LSH	RHS	supp	conf	
02-Det. house, NO	10-Husb.work.class=PrivateWorker	13,68821	75,19582	
02-Det. house, NO	11-Wife.work.class=PrivateWorker	13,45057	73,89034	
06-Husb.:no college, 07-Wife:no college	10-Husb.work.class=PrivateWorker	11,26426	73,14815	
06-Husb.:no college, 07-Wife:no college	11-Wife.work.class=PrivateWorker	12,11977	78,70370	
06-Husb.:no college, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	17,15779	78,64924	
06-Husb.:no college, 12-Husb.Income=04	10-Husb.work.class=PrivateWorker	10,74144	77,13311	
06-Husb.:no college, 12-Husb.Income=04	11-Wife.work.class=PrivateWorker	10,83650	77,81570	
06-Husb.:no college, NO	10-Husb.work.class=PrivateWorker	12,78517	75,77465	
06-Husb.:no college, NO	11-Wife.work.class=PrivateWorker	12,50000	74,08451	
07-Wife:no college, 11-Wife.work.class=PrivateWorker	01-H. not owned	19,20152	73,05606	
07-Wife:no college, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	20,67490	78,66184	
07-Wife:no college, 12-Husb.Income=04	01-H. not owned	10,40875	72,75748	
07-Wife:no college, 12-Husb.Income=04	10-Husb.work.class=PrivateWorker	10,88403	76,07973	
07-Wife:no college, 12-Husb.Income=04	11-Wife.work.class=PrivateWorker	11,83460	82,72425	
07-Wife:no college, NO	01-H. not owned	12,21483	72,39437	
07-Wife:no college, NO	10-Husb.work.class=PrivateWorker	12,73764	75,49296	
07-Wife:no college, NO	11-Wife.work.class=PrivateWorker	13,97338	82,81690	
11-Wife.work.class=PrivateWorker, 12-Husb.Income=04	01-H. not owned	22,24335	71,45038	
11-Wife.work.class=PrivateWorker, 12-Husb.Income=04	10-Husb.work.class=PrivateWorker	24,80989	79,69466	
11-Wife.work.class=PrivateWorker, 06-Husb.:associate	01-H. not owned	11,64449	74,69512	
11-Wife.work.class=PrivateWorker, 06-Husb.:associate	10-Husb.work.class=PrivateWorker	12,69011	81,40244	
11-Wife.work.class=PrivateWorker, 06-Husb.:associate	NO	12,07224	77,43902	
11-Wife.work.class=PrivateWorker, 09-Wife:Mexico	01-H. not owned	16,82510	76,45788	
11-Wife.work.class=PrivateWorker, 09-Wife:Mexico	10-Husb.work.class=PrivateWorker	19,24905	87,47300	
11-Wife.work.class=PrivateWorker, 09-Wife:Mexico	08-Husb.:Mexico	17,58555	79,91361	
11-Wife.work.class=PrivateWorker, 08-Husb.:Mexico	01-H. not owned	16,63498	75,75758	
11-Wife.work.class=PrivateWorker, 08-Husb.:Mexico	10-Husb.work.class=PrivateWorker	18,91635	86,14719	
11-Wife.work.class=PrivateWorker, 08-Husb.:Mexico	09-Wife:Mexico	17,58555	80,08658	
11-Wife.work.class=PrivateWorker, 03-Vechicl.=1	01-H. not owned	16,01711	86,63239	
11-Wife.work.class=PrivateWorker, 03-Vechicl.=1	10-Husb.work.class=PrivateWorker	15,16160	82,00514	
11-Wife.work.class=PrivateWorker, 12-Husb.Income=03	01-H. not owned	14,06844	89,96960	
11-Wife.work.class=PrivateWorker, 12-Husb.Income=03	10-Husb.work.class=PrivateWorker	12,69011	81,15502	
11-Wife.work.class=PrivateWorker, 06-Husb.:no school	10-Husb.work.class=PrivateWorker	10,45627	92,43697	
11-Wife.work.class=PrivateWorker, 01-H. owned	10-Husb.work.class=PrivateWorker	16,01711	82,59804	
11-Wife.work.class=PrivateWorker, 01-H. owned	02-Det. house	13,59316	70,09804	
11-Wife.work.class=PrivateWorker, 07-Wife:associate	01-H. not owned	11,31179	72,12121	
11-Wife.work.class=PrivateWorker, 07-Wife:associate	10-Husb.work.class=PrivateWorker	12,78517	81,51515	
11-Wife.work.class=PrivateWorker, 07-Wife:associate	NO	13,11787	83,63636	
11-Wife.work.class=PrivateWorker, NO	01-H. not owned	31,41635	73,85475	
11-Wife.work.class=PrivateWorker, NO	10-Husb.work.class=PrivateWorker	34,41065	80,89385	
12-Husb.Income=04, 09-Wife:Mexico	10-Husb.work.class=PrivateWorker	11,07414	84,11552	
12-Husb.Income=04, 09-Wife:Mexico	08-Husb.:Mexico	10,88403	82,67148	
12-Husb.Income=04, 08-Husb.:Mexico	10-Husb.work.class=PrivateWorker	11,21673	83,98577	
12-Husb.Income=04, 08-Husb.:Mexico	11-Wife.work.class=PrivateWorker	9,50570	71,17438	
12-Husb.Income=04, 08-Husb.:Mexico	09-Wife:Mexico	10,88403	81,49466	
12-Husb.Income=04, NO	01-H. not owned	16,30228	70,14315	
12-Husb.Income=04, NO	10-Husb.work.class=PrivateWorker	17,44297	75,05112	
12-Husb.Income=04, NO	11-Wife.work.class=PrivateWorker	17,06274	73,41513	
06-Husb.:associate, 07-Wife:associate	10-Husb.work.class=PrivateWorker	10,07605	79,10448	
06-Husb.:associate, 07-Wife:associate	NO	10,83650	85,07463	
06-Husb.:associate, NO	01-H. not owned	12,40494	75,21614	
06-Husb.:associate, NO	10-Husb.work.class=PrivateWorker	13,11787	79,53890	
06-Husb.:associate, NO	11-Wife.work.class=PrivateWorker	12,07224	73,19885	
09-Wife:Mexico, 08-Husb.:Mexico	01-H. not owned	20,43726	77,33813	
09-Wife:Mexico, 08-Husb.:Mexico	10-Husb.work.class=PrivateWorker	22,24335	84,17266	
09-Wife:Mexico, 03-Vechicl.=1	01-H. not owned	10,02852	86,47541	
09-Wife:Mexico, 03-Vechicl.=1	10-Husb.work.class=PrivateWorker	9,98099	86,06557	
09-Wife:Mexico, 03-Vechicl.=1	08-Husb.:Mexico	10,12357	87,29508	
09-Wife:Mexico, 12-Husb.Income=03	01-H. not owned	9,50570	88,10573	
09-Wife:Mexico, 12-Husb.Income=03	08-Husb.:Mexico	9,60076	88,98678	
09-Wife:Mexico, 06-Husb.:no school	01-H. not owned	11,50190	86,42857	
09-Wife:Mexico, 06-Husb.:no school	10-Husb.work.class=PrivateWorker	11,88213	89,28571	
09-Wife:Mexico, 06-Husb.:no school	08-Husb.:Mexico	12,59506	94,64286	
09-Wife:Mexico, NO	01-H. not owned	10,59886	75,59322	
09-Wife:Mexico, NO	10-Husb.work.class=PrivateWorker	11,64449	83,05085	
09-Wife:Mexico, NO	11-Wife.work.class=PrivateWorker	10,17110	72,54237	
09-Wife:Mexico, NO	08-Husb.:Mexico	10,36122	73,89831	
08-Husb.:Mexico, 03-Vechicl.=1	01-H. not owned	10,21863	87,39837	
08-Husb.:Mexico, 03-Vechicl.=1	10-Husb.work.class=PrivateWorker	9,88593	84,55285	
08-Husb.:Mexico, 03-Vechicl.=1	09-Wife:Mexico	10,12357	86,58537	
08-Husb.:Mexico, 12-Husb.Income=03	09-Wife:Mexico	9,60076	90,58296	
08-Husb.:Mexico, 06-Husb.:no school	01-H. not owned	11,83460	86,45833	
08-Husb.:Mexico, 06-Husb.:no school	10-Husb.work.class=PrivateWorker	12,11977	88,54167	
08-Husb.:Mexico, 06-Husb.:no school	09-Wife:Mexico	12,59506	92,01389	
08-Husb.:Mexico, NO	01-H. not owned	10,02852	75,89928	
08-Husb.:Mexico, NO	10-Husb.work.class=PrivateWorker	10,93156	82,73381	
08-Husb.:Mexico, NO	11-Wife.work.class=PrivateWorker	9,50570	71,94245	
08-Husb.:Mexico, NO	09-Wife:Mexico	10,36122	78,41727	
03-Vechicl.=1, NO	01-H. not owned	11,97719	88,11189	
03-Vechicl.=1, NO	02-Apart.	10,12357	74,47552	
03-Vechicl.=1, NO	10-Husb.work.class=PrivateWorker	10,55133	77,62238	
12-Husb.Income=03, NO	01-H. not owned	9,83840	85,18519	
01-H. owned, NO	10-Husb.work.class=PrivateWorker	12,16730	78,28746	
01-H. owned, NO	11-Wife.work.class=PrivateWorker	11,12167	71,55963	
07-Wife:associate, NO	01-H. not owned	15,01901	75,05938	
07-Wife:associate, NO	10-Husb.work.class=PrivateWorker	15,96958	79,80998	
01-H. not owned, 02-Apart., 03-Vechicl.=2	10-Husb.work.class=PrivateWorker	19,48669	79,61165	
01-H. not owned, 02-Apart., 03-Vechicl.=2	11-Wife.work.class=PrivateWorker	19,24905	78,64078	
01-H. not owned, 02-Apart., 08-Husb.:West Europe	10-Husb.work.class=PrivateWorker	12,35741	78,31325	
01-H. not owned, 02-Apart., 08-Husb.:West Europe	11-Wife.work.class=PrivateWorker	12,50000	79,21687	
01-H. not owned, 02-Apart., 08-Husb.:West Europe	NO	11,83460	75,00000	
01-H. not owned, 02-Apart., 09-Wife:West Europe	08-Husb.:West Europe	10,78897	71,60883	
01-H. not owned, 02-Apart., 09-Wife:West Europe	10-Husb.work.class=PrivateWorker	11,78707	78,23344	
01-H. not owned, 02-Apart., 09-Wife:West Europe	11-Wife.work.class=PrivateWorker	12,11977	80,44164	
01-H. not owned, 02-Apart., 09-Wife:West Europe	NO	11,02662	73,18612	
01-H. not owned, 02-Apart., 10-Husb.work.class=PrivateWorker	11-Wife.work.class=PrivateWorker	28,70722	72,77108	
01-H. not owned, 02-Apart., YES	10-Husb.work.class=PrivateWorker	15,44677	80,44554	
01-H. not owned, 02-Apart., 06-Husb.:no college	11-Wife.work.class=PrivateWorker	9,60076	77,99228	
01-H. not owned, 02-Apart., 07-Wife:no college	10-Husb.work.class=PrivateWorker	11,64449	78,27476	
01-H. not owned, 02-Apart., 07-Wife:no college	11-Wife.work.class=PrivateWorker	12,30989	82,74760	
01-H. not owned, 02-Apart., 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	28,70722	81,62162	
01-H. not owned, 02-Apart., 12-Husb.Income=04	10-Husb.work.class=PrivateWorker	14,87643	76,71569	
01-H. not owned, 02-Apart., 12-Husb.Income=04	11-Wife.work.class=PrivateWorker	14,63878	75,49020	
01-H. not owned, 02-Apart., 06-Husb.:associate	NO	9,55323	81,70732	
01-H. not owned, 02-Apart., 09-Wife:Mexico	10-Husb.work.class=PrivateWorker	14,21103	85,42857	
01-H. not owned, 02-Apart., 09-Wife:Mexico	08-Husb.:Mexico	13,73574	82,57143	
01-H. not owned, 02-Apart., 08-Husb.:Mexico	10-Husb.work.class=PrivateWorker	14,06844	84,57143	
01-H. not owned, 02-Apart., 08-Husb.:Mexico	09-Wife:Mexico	13,73574	82,57143	
01-H. not owned, 02-Apart., 03-Vechicl.=1	10-Husb.work.class=PrivateWorker	14,68631	80,46875	
01-H. not owned, 02-Apart., 12-Husb.Income=03	10-Husb.work.class=PrivateWorker	10,31369	82,19697	
01-H. not owned, 02-Apart., 07-Wife:associate	10-Husb.work.class=PrivateWorker	10,83650	80,28169	
01-H. not owned, 02-Apart., 07-Wife:associate	NO	11,59696	85,91549	
01-H. not owned, 02-Apart., NO	10-Husb.work.class=PrivateWorker	24,00190	79,52756	
01-H. not owned, 02-Apart., NO	11-Wife.work.class=PrivateWorker	22,29087	73,85827	
01-H. not owned, 03-Vechicl.=2, 08-Husb.:West Europe	09-Wife:West Europe	12,30989	71,54696	
01-H. not owned, 03-Vechicl.=2, 08-Husb.:West Europe	10-Husb.work.class=PrivateWorker	13,21293	76,79558	
01-H. not owned, 03-Vechicl.=2, 08-Husb.:West Europe	11-Wife.work.class=PrivateWorker	13,40304	77,90055	
01-H. not owned, 03-Vechicl.=2, 08-Husb.:West Europe	NO	12,30989	71,54696	
01-H. not owned, 03-Vechicl.=2, 09-Wife:West Europe	08-Husb.:West Europe	12,30989	73,37110	
01-H. not owned, 03-Vechicl.=2, 09-Wife:West Europe	10-Husb.work.class=PrivateWorker	12,88023	76,77054	
01-H. not owned, 03-Vechicl.=2, 09-Wife:West Europe	11-Wife.work.class=PrivateWorker	13,26046	79,03683	
01-H. not owned, 03-Vechicl.=2, 10-Husb.work.class=PrivateWorker	11-Wife.work.class=PrivateWorker	23,66920	80,45234	
01-H. not owned, 03-Vechicl.=2, YES	10-Husb.work.class=PrivateWorker	10,93156	79,31034	
01-H. not owned, 03-Vechicl.=2, YES	11-Wife.work.class=PrivateWorker	10,55133	76,55172	
01-H. not owned, 03-Vechicl.=2, 07-Wife:no college	10-Husb.work.class=PrivateWorker	10,64639	77,50865	
01-H. not owned, 03-Vechicl.=2, 07-Wife:no college	11-Wife.work.class=PrivateWorker	11,73954	85,46713	
01-H. not owned, 03-Vechicl.=2, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	23,66920	79,80769	
01-H. not owned, 03-Vechicl.=2, 12-Husb.Income=04	10-Husb.work.class=PrivateWorker	13,78327	77,33333	
01-H. not owned, 03-Vechicl.=2, 12-Husb.Income=04	11-Wife.work.class=PrivateWorker	14,25856	80,00000	
01-H. not owned, 03-Vechicl.=2, 07-Wife:associate	NO	9,50570	88,49558	
01-H. not owned, 03-Vechicl.=2, NO	10-Husb.work.class=PrivateWorker	18,48859	76,57480	
01-H. not owned, 03-Vechicl.=2, NO	11-Wife.work.class=PrivateWorker	19,10646	79,13386	
01-H. not owned, 06-Husb.:school, 10-Husb.work.class=PrivateWorker	11-Wife.work.class=PrivateWorker	9,69582	76,40449	
01-H. not owned, 06-Husb.:school, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	9,69582	79,06977	
01-H. not owned, 08-Husb.:West Europe, 09-Wife:West Europe	10-Husb.work.class=PrivateWorker	13,83080	76,17801	
01-H. not owned, 08-Husb.:West Europe, 09-Wife:West Europe	11-Wife.work.class=PrivateWorker	14,25856	78,53403	
01-H. not owned, 08-Husb.:West Europe, 10-Husb.work.class=PrivateWorker	09-Wife:West Europe	13,83080	70,28986	
01-H. not owned, 08-Husb.:West Europe, 10-Husb.work.class=PrivateWorker	11-Wife.work.class=PrivateWorker	16,49240	83,81643	
01-H. not owned, 08-Husb.:West Europe, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	16,49240	80,32407	
01-H. not owned, 08-Husb.:West Europe, NO	03-Vechicl.=2	12,30989	72,14485	
01-H. not owned, 08-Husb.:West Europe, NO	09-Wife:West Europe	12,11977	71,03064	
01-H. not owned, 08-Husb.:West Europe, NO	10-Husb.work.class=PrivateWorker	13,26046	77,71588	
01-H. not owned, 08-Husb.:West Europe, NO	11-Wife.work.class=PrivateWorker	13,54563	79,38719	
01-H. not owned, 09-Wife:West Europe, 10-Husb.work.class=PrivateWorker	08-Husb.:West Europe	13,83080	72,93233	
01-H. not owned, 09-Wife:West Europe, 10-Husb.work.class=PrivateWorker	11-Wife.work.class=PrivateWorker	15,54183	81,95489	
01-H. not owned, 09-Wife:West Europe, 11-Wife.work.class=PrivateWorker	08-Husb.:West Europe	14,25856	71,59905	
01-H. not owned, 09-Wife:West Europe, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	15,54183	78,04296	
01-H. not owned, 09-Wife:West Europe, 12-Husb.Income=04	11-Wife.work.class=PrivateWorker	9,69582	79,68750	
01-H. not owned, 09-Wife:West Europe, NO	03-Vechicl.=2	11,50190	70,34884	
01-H. not owned, 09-Wife:West Europe, NO	08-Husb.:West Europe	12,11977	74,12791	
01-H. not owned, 09-Wife:West Europe, NO	10-Husb.work.class=PrivateWorker	12,50000	76,45349	
01-H. not owned, 09-Wife:West Europe, NO	11-Wife.work.class=PrivateWorker	12,92776	79,06977	
01-H. not owned, 10-Husb.work.class=PrivateWorker, YES	11-Wife.work.class=PrivateWorker	18,20342	71,18959	
01-H. not owned, 10-Husb.work.class=PrivateWorker, 02-Det. house	11-Wife.work.class=PrivateWorker	10,12357	80,68182	
01-H. not owned, 10-Husb.work.class=PrivateWorker, 06-Husb.:no college	11-Wife.work.class=PrivateWorker	11,59696	80,79470	
01-H. not owned, 10-Husb.work.class=PrivateWorker, 07-Wife:no college	11-Wife.work.class=PrivateWorker	15,16160	85,06667	
01-H. not owned, 10-Husb.work.class=PrivateWorker, 12-Husb.Income=04	11-Wife.work.class=PrivateWorker	17,68061	76,54321	
01-H. not owned, 10-Husb.work.class=PrivateWorker, 06-Husb.:associate	11-Wife.work.class=PrivateWorker	9,55323	76,71756	
01-H. not owned, 10-Husb.work.class=PrivateWorker, 06-Husb.:associate	NO	9,98099	80,15267	
01-H. not owned, 10-Husb.work.class=PrivateWorker, 09-Wife:Mexico	08-Husb.:Mexico	17,53802	83,10811	
01-H. not owned, 10-Husb.work.class=PrivateWorker, 08-Husb.:Mexico	09-Wife:Mexico	17,53802	84,63303	
01-H. not owned, 10-Husb.work.class=PrivateWorker, 03-Vechicl.=1	02-Apart.	14,68631	75,18248	
01-H. not owned, 10-Husb.work.class=PrivateWorker, 12-Husb.Income=03	11-Wife.work.class=PrivateWorker	11,35932	74,22360	
01-H. not owned, 10-Husb.work.class=PrivateWorker, 06-Husb.:no school	09-Wife:Mexico	10,26616	80,00000	
01-H. not owned, 10-Husb.work.class=PrivateWorker, 06-Husb.:no school	08-Husb.:Mexico	10,45627	81,48148	
01-H. not owned, 10-Husb.work.class=PrivateWorker, 07-Wife:associate	02-Apart.	10,83650	77,55102	
01-H. not owned, 10-Husb.work.class=PrivateWorker, 07-Wife:associate	NO	12,02471	86,05442	
01-H. not owned, 10-Husb.work.class=PrivateWorker, NO	02-Apart.	24,00190	73,50801	
01-H. not owned, 10-Husb.work.class=PrivateWorker, NO	11-Wife.work.class=PrivateWorker	25,14259	77,00146	
01-H. not owned, YES, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	18,20342	82,54310	
01-H. not owned, YES, 12-Husb.Income=04	10-Husb.work.class=PrivateWorker	10,93156	79,86111	
01-H. not owned, YES, 12-Husb.Income=04	11-Wife.work.class=PrivateWorker	9,88593	72,22222	
01-H. not owned, YES, 09-Wife:Mexico	10-Husb.work.class=PrivateWorker	12,21483	85,66667	
01-H. not owned, YES, 09-Wife:Mexico	08-Husb.:Mexico	12,50000	87,66667	
01-H. not owned, YES, 08-Husb.:Mexico	10-Husb.work.class=PrivateWorker	12,35741	84,96732	
01-H. not owned, YES, 08-Husb.:Mexico	09-Wife:Mexico	12,50000	85,94771	
01-H. not owned, YES, 03-Vechicl.=1	10-Husb.work.class=PrivateWorker	10,26616	78,26087	
01-H. not owned, 02-Det. house, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	10,12357	82,55814	
01-H. not owned, 06-Husb.:no college, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	11,59696	78,45659	
01-H. not owned, 07-Wife:no college, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	15,16160	78,96040	
01-H. not owned, 07-Wife:no college, NO	11-Wife.work.class=PrivateWorker	10,31369	84,43580	
01-H. not owned, 11-Wife.work.class=PrivateWorker, 12-Husb.Income=04	10-Husb.work.class=PrivateWorker	17,68061	79,48718	
01-H. not owned, 11-Wife.work.class=PrivateWorker, 06-Husb.:associate	10-Husb.work.class=PrivateWorker	9,55323	82,04082	
01-H. not owned, 11-Wife.work.class=PrivateWorker, 09-Wife:Mexico	10-Husb.work.class=PrivateWorker	14,68631	87,28814	
01-H. not owned, 11-Wife.work.class=PrivateWorker, 09-Wife:Mexico	08-Husb.:Mexico	13,45057	79,94350	
01-H. not owned, 11-Wife.work.class=PrivateWorker, 08-Husb.:Mexico	10-Husb.work.class=PrivateWorker	14,30608	86,00000	
01-H. not owned, 11-Wife.work.class=PrivateWorker, 08-Husb.:Mexico	09-Wife:Mexico	13,45057	80,85714	
01-H. not owned, 11-Wife.work.class=PrivateWorker, 03-Vechicl.=1	02-Apart.	11,31179	70,62315	
01-H. not owned, 11-Wife.work.class=PrivateWorker, 03-Vechicl.=1	10-Husb.work.class=PrivateWorker	12,92776	80,71217	
01-H. not owned, 11-Wife.work.class=PrivateWorker, 12-Husb.Income=03	10-Husb.work.class=PrivateWorker	11,35932	80,74324	
01-H. not owned, 11-Wife.work.class=PrivateWorker, 07-Wife:associate	NO	9,98099	88,23529	
01-H. not owned, 11-Wife.work.class=PrivateWorker, NO	02-Apart.	22,29087	70,95310	
01-H. not owned, 11-Wife.work.class=PrivateWorker, NO	10-Husb.work.class=PrivateWorker	25,14259	80,03026	
01-H. not owned, 12-Husb.Income=04, NO	10-Husb.work.class=PrivateWorker	12,16730	74,63557	
01-H. not owned, 12-Husb.Income=04, NO	11-Wife.work.class=PrivateWorker	12,35741	75,80175	
01-H. not owned, 06-Husb.:associate, NO	02-Apart.	9,55323	77,01149	
01-H. not owned, 06-Husb.:associate, NO	10-Husb.work.class=PrivateWorker	9,98099	80,45977	
01-H. not owned, 09-Wife:Mexico, 08-Husb.:Mexico	10-Husb.work.class=PrivateWorker	17,53802	85,81395	
01-H. not owned, 09-Wife:Mexico, 06-Husb.:no school	10-Husb.work.class=PrivateWorker	10,26616	89,25620	
01-H. not owned, 09-Wife:Mexico, 06-Husb.:no school	08-Husb.:Mexico	10,93156	95,04132	
01-H. not owned, 08-Husb.:Mexico, 06-Husb.:no school	10-Husb.work.class=PrivateWorker	10,45627	88,35341	
01-H. not owned, 08-Husb.:Mexico, 06-Husb.:no school	09-Wife:Mexico	10,93156	92,36948	
01-H. not owned, 03-Vechicl.=1, NO	02-Apart.	9,69582	80,95238	
01-H. not owned, 07-Wife:associate, NO	02-Apart.	11,59696	77,21519	
01-H. not owned, 07-Wife:associate, NO	10-Husb.work.class=PrivateWorker	12,02471	80,06329	
02-Apart., 03-Vechicl.=2, 08-Husb.:West Europe	01-H. not owned	10,64639	92,56198	
02-Apart., 03-Vechicl.=2, 09-Wife:West Europe	01-H. not owned	9,93346	93,72197	
02-Apart., 03-Vechicl.=2, 10-Husb.work.class=PrivateWorker	01-H. not owned	19,48669	92,13483	
02-Apart., 03-Vechicl.=2, 10-Husb.work.class=PrivateWorker	11-Wife.work.class=PrivateWorker	16,63498	78,65169	
02-Apart., 03-Vechicl.=2, 11-Wife.work.class=PrivateWorker	01-H. not owned	19,24905	93,10345	
02-Apart., 03-Vechicl.=2, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	16,63498	80,45977	
02-Apart., 03-Vechicl.=2, 12-Husb.Income=04	01-H. not owned	11,35932	91,92308	
02-Apart., 03-Vechicl.=2, 12-Husb.Income=04	10-Husb.work.class=PrivateWorker	9,64829	78,07692	
02-Apart., 03-Vechicl.=2, 12-Husb.Income=04	11-Wife.work.class=PrivateWorker	9,88593	80,00000	
02-Apart., 03-Vechicl.=2, NO	01-H. not owned	16,68251	91,64491	
02-Apart., 03-Vechicl.=2, NO	10-Husb.work.class=PrivateWorker	14,59125	80,15666	
02-Apart., 03-Vechicl.=2, NO	11-Wife.work.class=PrivateWorker	14,11597	77,54569	
02-Apart., 08-Husb.:West Europe, 09-Wife:West Europe	01-H. not owned	10,78897	94,97908	
02-Apart., 08-Husb.:West Europe, 10-Husb.work.class=PrivateWorker	01-H. not owned	12,35741	92,52669	
02-Apart., 08-Husb.:West Europe, 10-Husb.work.class=PrivateWorker	11-Wife.work.class=PrivateWorker	10,83650	81,13879	
02-Apart., 08-Husb.:West Europe, 10-Husb.work.class=PrivateWorker	NO	10,07605	75,44484	
02-Apart., 08-Husb.:West Europe, 11-Wife.work.class=PrivateWorker	01-H. not owned	12,50000	94,26523	
02-Apart., 08-Husb.:West Europe, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	10,83650	81,72043	
02-Apart., 08-Husb.:West Europe, 11-Wife.work.class=PrivateWorker	NO	9,74335	73,47670	
02-Apart., 08-Husb.:West Europe, NO	01-H. not owned	11,83460	93,25843	
02-Apart., 08-Husb.:West Europe, NO	10-Husb.work.class=PrivateWorker	10,07605	79,40075	
02-Apart., 08-Husb.:West Europe, NO	11-Wife.work.class=PrivateWorker	9,74335	76,77903	
02-Apart., 09-Wife:West Europe, 10-Husb.work.class=PrivateWorker	01-H. not owned	11,78707	93,93939	
02-Apart., 09-Wife:West Europe, 10-Husb.work.class=PrivateWorker	11-Wife.work.class=PrivateWorker	10,12357	80,68182	
02-Apart., 09-Wife:West Europe, 11-Wife.work.class=PrivateWorker	01-H. not owned	12,11977	95,86466	
02-Apart., 09-Wife:West Europe, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	10,12357	80,07519	
02-Apart., 09-Wife:West Europe, NO	01-H. not owned	11,02662	94,69388	
02-Apart., 10-Husb.work.class=PrivateWorker, YES	01-H. not owned	15,44677	96,43917	
02-Apart., 10-Husb.work.class=PrivateWorker, 07-Wife:no college	01-H. not owned	11,64449	94,23077	
02-Apart., 10-Husb.work.class=PrivateWorker, 07-Wife:no college	11-Wife.work.class=PrivateWorker	10,64639	86,15385	
02-Apart., 10-Husb.work.class=PrivateWorker, 11-Wife.work.class=PrivateWorker	01-H. not owned	28,70722	94,52269	
02-Apart., 10-Husb.work.class=PrivateWorker, 12-Husb.Income=04	01-H. not owned	14,87643	93,43284	
02-Apart., 10-Husb.work.class=PrivateWorker, 12-Husb.Income=04	11-Wife.work.class=PrivateWorker	12,11977	76,11940	
02-Apart., 10-Husb.work.class=PrivateWorker, 09-Wife:Mexico	01-H. not owned	14,21103	95,52716	
02-Apart., 10-Husb.work.class=PrivateWorker, 09-Wife:Mexico	08-Husb.:Mexico	12,16730	81,78914	
02-Apart., 10-Husb.work.class=PrivateWorker, 08-Husb.:Mexico	01-H. not owned	14,06844	97,04918	
02-Apart., 10-Husb.work.class=PrivateWorker, 08-Husb.:Mexico	09-Wife:Mexico	12,16730	83,93443	
02-Apart., 10-Husb.work.class=PrivateWorker, 03-Vechicl.=1	01-H. not owned	14,68631	97,78481	
02-Apart., 10-Husb.work.class=PrivateWorker, 12-Husb.Income=03	01-H. not owned	10,31369	96,44444	
02-Apart., 10-Husb.work.class=PrivateWorker, 07-Wife:associate	01-H. not owned	10,83650	92,30769	
02-Apart., 10-Husb.work.class=PrivateWorker, 07-Wife:associate	NO	10,07605	85,82996	
02-Apart., 10-Husb.work.class=PrivateWorker, NO	01-H. not owned	24,00190	93,34566	
02-Apart., 10-Husb.work.class=PrivateWorker, NO	11-Wife.work.class=PrivateWorker	19,34411	75,23105	
02-Apart., YES, 11-Wife.work.class=PrivateWorker	01-H. not owned	12,88023	95,75972	
02-Apart., YES, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	11,02662	81,97880	
02-Apart., YES, 08-Husb.:Mexico	01-H. not owned	9,74335	98,55769	
02-Apart., 06-Husb.:no college, 11-Wife.work.class=PrivateWorker	01-H. not owned	9,60076	94,39252	
02-Apart., 07-Wife:no college, 11-Wife.work.class=PrivateWorker	01-H. not owned	12,30989	94,18182	
02-Apart., 07-Wife:no college, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	10,64639	81,45455	
02-Apart., 11-Wife.work.class=PrivateWorker, 12-Husb.Income=04	01-H. not owned	14,63878	94,47853	
02-Apart., 11-Wife.work.class=PrivateWorker, 12-Husb.Income=04	10-Husb.work.class=PrivateWorker	12,11977	78,22086	
02-Apart., 11-Wife.work.class=PrivateWorker, 09-Wife:Mexico	01-H. not owned	11,12167	95,90164	
02-Apart., 11-Wife.work.class=PrivateWorker, 09-Wife:Mexico	10-Husb.work.class=PrivateWorker	10,12357	87,29508	
02-Apart., 11-Wife.work.class=PrivateWorker, 08-Husb.:Mexico	01-H. not owned	11,26426	96,73469	
02-Apart., 11-Wife.work.class=PrivateWorker, 08-Husb.:Mexico	10-Husb.work.class=PrivateWorker	9,98099	85,71429	
02-Apart., 11-Wife.work.class=PrivateWorker, 03-Vechicl.=1	01-H. not owned	11,31179	97,94239	
02-Apart., 11-Wife.work.class=PrivateWorker, 03-Vechicl.=1	10-Husb.work.class=PrivateWorker	9,64829	83,53909	
02-Apart., 11-Wife.work.class=PrivateWorker, NO	01-H. not owned	22,29087	94,17671	
02-Apart., 11-Wife.work.class=PrivateWorker, NO	10-Husb.work.class=PrivateWorker	19,34411	81,72691	
02-Apart., 12-Husb.Income=04, NO	01-H. not owned	11,21673	93,28063	
